Angle (deg),Segment Distance (Pixels)
45.0,170.0
45.0,29.0
45.0,18.0
45.0,71.0
45.0,21.0
45.0,7.0
45.0,51.0
45.0,13.0
45.0,16.0
45.0,41.0
45.0,37.0
45.0,68.0
45.0,85.0
45.0,28.0
45.0,58.0
45.0,15.0
45.0,36.0
45.0,99.0
45.0,130.0
45.0,62.0
45.0,41.0
45.0,72.0
45.0,73.0
45.0,6.0
45.0,44.0
45.0,80.0
45.0,69.0
45.0,16.0
45.0,8.0
45.0,77.0
45.0,16.0
45.0,17.0
45.0,21.0
45.0,20.0
45.0,34.0
45.0,22.0
45.0,33.0
45.0,19.0
45.0,13.0
45.0,5.0
45.0,4.0
45.0,93.0
45.0,13.0
45.0,21.0
45.0,32.0
45.0,55.0
45.0,38.0
45.0,55.0
45.0,6.0
45.0,24.0
45.0,72.0
45.0,52.0
45.0,15.0
45.0,29.0
45.0,16.0
45.0,38.0
45.0,41.0
45.0,23.0
45.0,25.0
45.0,27.0
45.0,44.0
45.0,21.0
45.0,51.0
45.0,79.0
45.0,117.0
45.0,39.0
45.0,98.0
45.0,49.0
45.0,60.0
45.0,23.0
45.0,40.0
45.0,30.0
45.0,22.0
45.0,49.0
45.0,12.0
45.0,8.0
45.0,94.0
45.0,5.0
45.0,38.0
45.0,31.0
45.0,22.0
45.0,23.0
45.0,24.0
45.0,55.0
45.0,7.0
45.0,7.0
45.0,51.0
45.0,39.0
45.0,67.0
45.0,7.0
45.0,19.0
45.0,5.0
45.0,31.0
45.0,67.0
45.0,44.0
45.0,4.0
45.0,86.0
45.0,15.0
45.0,39.0
45.0,75.0
45.0,56.0
45.0,71.0
45.0,25.0
45.0,5.0
45.0,55.0
45.0,16.0
45.0,87.0
45.0,54.0
45.0,71.0
45.0,13.0
45.0,69.0
45.0,19.0
45.0,40.0
45.0,23.0
45.0,50.0
45.0,63.0
45.0,86.0
45.0,26.0
45.0,4.0
45.0,77.0
45.0,40.0
45.0,58.0
45.0,24.0
90.0,70.0
90.0,44.0
90.0,39.0
90.0,83.0
90.0,25.0
90.0,24.0
90.0,10.0
90.0,24.0
90.0,6.0
90.0,55.0
90.0,14.0
90.0,43.0
90.0,72.0
90.0,17.0
90.0,10.0
90.0,68.0
90.0,19.0
90.0,81.0
90.0,41.0
90.0,12.0
90.0,43.0
90.0,30.0
90.0,32.0
90.0,72.0
90.0,5.0
90.0,28.0
90.0,47.0
90.0,70.0
90.0,22.0
90.0,64.0
90.0,48.0
90.0,26.0
90.0,38.0
90.0,124.0
90.0,14.0
90.0,39.0
90.0,48.0
90.0,43.0
90.0,12.0
90.0,38.0
90.0,35.0
90.0,59.0
90.0,6.0
90.0,6.0
90.0,6.0
90.0,46.0
90.0,57.0
90.0,15.0
90.0,36.0
90.0,34.0
90.0,13.0
90.0,7.0
90.0,16.0
90.0,72.0
90.0,50.0
90.0,7.0
90.0,14.0
90.0,86.0
90.0,41.0
90.0,66.0
90.0,27.0
90.0,59.0
90.0,48.0
90.0,7.0
90.0,34.0
90.0,81.0
90.0,55.0
90.0,74.0
90.0,108.0
90.0,59.0
90.0,32.0
90.0,20.0
90.0,41.0
90.0,49.0
90.0,68.0
90.0,53.0
90.0,5.0
90.0,36.0
90.0,46.0
90.0,36.0
90.0,27.0
90.0,22.0
90.0,17.0
90.0,17.0
90.0,12.0
90.0,41.0
90.0,4.0
90.0,26.0
90.0,46.0
90.0,44.0
90.0,14.0
90.0,87.0
90.0,100.0
90.0,5.0
90.0,7.0
90.0,8.0
90.0,6.0
90.0,57.0
90.0,29.0
90.0,80.0
90.0,24.0
90.0,12.0
90.0,3.0
90.0,27.0
90.0,53.0
90.0,58.0
90.0,35.0
90.0,40.0
90.0,48.0
90.0,45.0
90.0,97.0
90.0,75.0
90.0,52.0
90.0,3.0
90.0,48.0
90.0,34.0
90.0,32.0
90.0,8.0
90.0,35.0
90.0,8.0
90.0,13.0
90.0,35.0
90.0,60.0
90.0,10.0
90.0,69.0
90.0,54.0
90.0,16.0
90.0,62.0
90.0,22.0
90.0,36.0
90.0,12.0
90.0,41.0
90.0,83.0
90.0,8.0
90.0,42.0
90.0,166.0
90.0,35.0
90.0,53.0
90.0,45.0
90.0,33.0
90.0,16.0
90.0,32.0
90.0,34.0
90.0,28.0
90.0,18.0
90.0,5.0
90.0,46.0
90.0,72.0
90.0,22.0
90.0,35.0
90.0,66.0
90.0,21.0
90.0,27.0
90.0,60.0
90.0,23.0
90.0,41.0
90.0,43.0
90.0,15.0
90.0,100.0
90.0,14.0
90.0,52.0
90.0,23.0
90.0,42.0
90.0,99.0
90.0,45.0
135.0,64.0
135.0,84.0
135.0,82.0
135.0,4.0
135.0,3.0
135.0,42.0
135.0,23.0
135.0,54.0
135.0,33.0
135.0,25.0
135.0,15.0
135.0,19.0
135.0,87.0
135.0,18.0
135.0,11.0
135.0,10.0
135.0,30.0
135.0,67.0
135.0,19.0
135.0,16.0
135.0,33.0
135.0,40.0
135.0,21.0
135.0,138.0
135.0,25.0
135.0,18.0
135.0,37.0
135.0,49.0
135.0,56.0
135.0,14.0
135.0,77.0
135.0,82.0
135.0,18.0
135.0,27.0
135.0,6.0
135.0,9.0
135.0,61.0
135.0,17.0
135.0,33.0
135.0,25.0
135.0,23.0
135.0,66.0
135.0,30.0
135.0,23.0
135.0,10.0
135.0,34.0
135.0,18.0
135.0,34.0
135.0,40.0
135.0,22.0
135.0,49.0
135.0,34.0
135.0,75.0
135.0,11.0
135.0,23.0
135.0,55.0
135.0,138.0
135.0,23.0
135.0,35.0
135.0,19.0
135.0,17.0
135.0,58.0
135.0,16.0
135.0,12.0
135.0,12.0
135.0,54.0
135.0,25.0
135.0,31.0
135.0,6.0
135.0,4.0
135.0,26.0
135.0,15.0
135.0,10.0
135.0,54.0
135.0,3.0
135.0,85.0
135.0,7.0
135.0,70.0
135.0,17.0
135.0,23.0
135.0,21.0
135.0,19.0
135.0,100.0
135.0,40.0
135.0,5.0
135.0,19.0
135.0,62.0
135.0,11.0
135.0,61.0
135.0,28.0
135.0,13.0
135.0,38.0
135.0,10.0
135.0,41.0
135.0,14.0
135.0,47.0
135.0,25.0
135.0,10.0
135.0,21.0
135.0,19.0
135.0,5.0
135.0,17.0
135.0,27.0
135.0,46.0
135.0,21.0
135.0,50.0
135.0,79.0
135.0,80.0
135.0,50.0
135.0,26.0
135.0,81.0
135.0,60.0
135.0,24.0
135.0,97.0
135.0,36.0
135.0,45.0
135.0,25.0
135.0,70.0
135.0,11.0
135.0,11.0
135.0,115.0
135.0,34.0
135.0,17.0
135.0,24.0
135.0,102.0
135.0,46.0
135.0,10.0
135.0,13.0
135.0,43.0
135.0,94.0
135.0,42.0
135.0,47.0
135.0,11.0
135.0,49.0
135.0,15.0
135.0,99.0
135.0,51.0
135.0,52.0
135.0,44.0
135.0,136.0
135.0,10.0
135.0,50.0
135.0,6.0
135.0,30.0
135.0,11.0
135.0,120.0
135.0,72.0
135.0,32.0
135.0,62.0
135.0,16.0
135.0,24.0
135.0,7.0
135.0,26.0
135.0,11.0
135.0,3.0
135.0,49.0
135.0,21.0
135.0,61.0
135.0,42.0
135.0,25.0
135.0,30.0
135.0,43.0
135.0,37.0
135.0,73.0
135.0,21.0
135.0,10.0
135.0,8.0
135.0,13.0
135.0,33.0
135.0,20.0
135.0,51.0
135.0,42.0
135.0,26.0
135.0,16.0
135.0,36.0
180.0,74.0
180.0,56.0
180.0,9.0
180.0,10.0
180.0,33.0
180.0,52.0
180.0,76.0
180.0,26.0
180.0,37.0
180.0,28.0
180.0,43.0
180.0,52.0
180.0,67.0
180.0,34.0
180.0,8.0
180.0,5.0
180.0,72.0
180.0,53.0
180.0,108.0
180.0,87.0
180.0,42.0
180.0,12.0
180.0,12.0
180.0,26.0
180.0,81.0
180.0,102.0
180.0,33.0
180.0,31.0
180.0,50.0
180.0,6.0
180.0,30.0
180.0,24.0
180.0,28.0
180.0,23.0
180.0,22.0
180.0,15.0
180.0,25.0
180.0,20.0
180.0,16.0
180.0,43.0
180.0,31.0
180.0,31.0
180.0,100.0
180.0,96.0
180.0,27.0
180.0,36.0
180.0,92.0
180.0,51.0
180.0,8.0
180.0,5.0
180.0,29.0
180.0,7.0
180.0,25.0
180.0,49.0
180.0,16.0
180.0,38.0
180.0,27.0
180.0,19.0
180.0,46.0
180.0,15.0
180.0,20.0
180.0,5.0
180.0,11.0
180.0,41.0
180.0,46.0
180.0,31.0
180.0,38.0
180.0,14.0
180.0,57.0
180.0,18.0
180.0,21.0
180.0,3.0
180.0,19.0
180.0,23.0
180.0,58.0
180.0,123.0
180.0,42.0
180.0,49.0
180.0,24.0
180.0,23.0
180.0,33.0
180.0,41.0
180.0,22.0
180.0,15.0
180.0,8.0
180.0,26.0
180.0,17.0
180.0,20.0
180.0,88.0
180.0,49.0
180.0,34.0
180.0,4.0
180.0,6.0
180.0,38.0
180.0,15.0
180.0,21.0
180.0,18.0
180.0,35.0
180.0,9.0
180.0,16.0
180.0,24.0
180.0,46.0
180.0,8.0
180.0,56.0
180.0,13.0
180.0,53.0
180.0,89.0
180.0,13.0
180.0,27.0
180.0,22.0
180.0,43.0
180.0,6.0
180.0,50.0
180.0,23.0
180.0,89.0
180.0,5.0
180.0,39.0
180.0,72.0
180.0,33.0
180.0,25.0
180.0,33.0
180.0,32.0
180.0,12.0
180.0,57.0
180.0,13.0
180.0,72.0
180.0,35.0
180.0,6.0
180.0,18.0
180.0,41.0
180.0,67.0
180.0,11.0
180.0,7.0
180.0,37.0
180.0,14.0
180.0,32.0
180.0,10.0
180.0,36.0
180.0,23.0
180.0,48.0
180.0,95.0
180.0,118.0
180.0,50.0
180.0,82.0
180.0,7.0
180.0,28.0
180.0,42.0
180.0,41.0
180.0,36.0
180.0,16.0
180.0,36.0
180.0,7.0
180.0,41.0
180.0,30.0
180.0,3.0
180.0,10.0
180.0,43.0
180.0,47.0
180.0,32.0
180.0,6.0
180.0,111.0
180.0,5.0
180.0,19.0
180.0,50.0
180.0,8.0
180.0,19.0
180.0,11.0
180.0,50.0
180.0,36.0
180.0,44.0
180.0,29.0
180.0,49.0
180.0,84.0
180.0,56.0
180.0,14.0
180.0,67.0
180.0,37.0
180.0,57.0
180.0,40.0
180.0,47.0
180.0,41.0
180.0,29.0
180.0,18.0
180.0,4.0
