Angle (deg),Segment Distance (Pixels)
0.0,19.0
0.0,15.0
0.0,13.0
0.0,17.0
0.0,17.0
0.0,5.0
0.0,12.0
0.0,10.0
0.0,24.0
0.0,14.0
0.0,40.0
0.0,7.0
0.0,12.0
0.0,73.0
0.0,3.0
0.0,36.0
0.0,23.0
0.0,14.0
0.0,8.0
0.0,21.0
0.0,7.0
0.0,13.0
0.0,11.0
0.0,12.0
0.0,8.0
0.0,27.0
0.0,19.0
0.0,4.0
0.0,51.0
0.0,75.0
0.0,6.0
0.0,11.0
0.0,60.0
0.0,103.0
0.0,39.0
0.0,59.0
0.0,36.0
0.0,19.0
0.0,12.0
0.0,16.0
0.0,20.0
0.0,19.0
0.0,28.0
0.0,19.0
0.0,14.0
0.0,14.0
0.0,129.0
0.0,35.0
0.0,11.0
0.0,17.0
0.0,24.0
0.0,7.0
0.0,14.0
0.0,17.0
0.0,40.0
0.0,24.0
0.0,21.0
0.0,27.0
0.0,12.0
0.0,25.0
0.0,127.0
0.0,80.0
0.0,46.0
0.0,101.0
0.0,53.0
0.0,40.0
0.0,89.0
0.0,20.0
0.0,101.0
0.0,37.0
0.0,12.0
0.0,9.0
0.0,14.0
0.0,8.0
0.0,8.0
0.0,18.0
0.0,12.0
0.0,12.0
0.0,34.0
0.0,8.0
0.0,18.0
0.0,19.0
0.0,8.0
0.0,11.0
0.0,40.0
0.0,153.0
0.0,11.0
0.0,58.0
0.0,14.0
0.0,19.0
0.0,25.0
0.0,37.0
0.0,24.0
0.0,24.0
0.0,80.0
0.0,55.0
0.0,51.0
0.0,77.0
0.0,33.0
0.0,11.0
0.0,26.0
0.0,11.0
0.0,17.0
0.0,14.0
0.0,8.0
0.0,11.0
0.0,35.0
0.0,24.0
0.0,23.0
0.0,16.0
45.0,47.0
45.0,13.0
45.0,22.0
45.0,20.0
45.0,11.0
45.0,38.0
45.0,40.0
45.0,4.0
45.0,3.0
45.0,39.0
45.0,25.0
45.0,14.0
45.0,9.0
45.0,68.0
45.0,16.0
45.0,19.0
45.0,33.0
45.0,55.0
45.0,15.0
45.0,66.0
45.0,77.0
45.0,49.0
45.0,24.0
45.0,19.0
45.0,20.0
45.0,54.0
45.0,26.0
45.0,4.0
45.0,39.0
45.0,14.0
45.0,38.0
45.0,17.0
45.0,25.0
45.0,12.0
45.0,33.0
45.0,31.0
45.0,27.0
45.0,43.0
45.0,11.0
45.0,32.0
45.0,24.0
45.0,31.0
45.0,40.0
45.0,18.0
45.0,23.0
45.0,37.0
45.0,30.0
45.0,61.0
45.0,6.0
45.0,16.0
45.0,17.0
45.0,43.0
45.0,16.0
45.0,63.0
45.0,38.0
45.0,57.0
45.0,69.0
45.0,29.0
45.0,34.0
45.0,25.0
45.0,33.0
45.0,33.0
45.0,84.0
45.0,45.0
45.0,20.0
45.0,87.0
45.0,53.0
45.0,14.0
45.0,106.0
45.0,27.0
45.0,69.0
45.0,16.0
45.0,78.0
45.0,8.0
45.0,75.0
45.0,20.0
45.0,40.0
45.0,27.0
45.0,15.0
45.0,35.0
45.0,16.0
45.0,35.0
45.0,19.0
45.0,24.0
45.0,15.0
45.0,39.0
45.0,14.0
45.0,134.0
45.0,19.0
45.0,25.0
45.0,17.0
45.0,18.0
45.0,25.0
45.0,18.0
45.0,25.0
45.0,11.0
45.0,37.0
45.0,30.0
45.0,25.0
45.0,69.0
45.0,32.0
45.0,16.0
45.0,10.0
45.0,52.0
45.0,37.0
45.0,19.0
45.0,27.0
45.0,24.0
45.0,15.0
45.0,65.0
45.0,129.0
45.0,37.0
45.0,3.0
45.0,30.0
45.0,33.0
45.0,29.0
45.0,57.0
45.0,51.0
45.0,11.0
45.0,12.0
45.0,24.0
45.0,18.0
45.0,15.0
45.0,20.0
45.0,43.0
45.0,22.0
45.0,33.0
45.0,18.0
45.0,16.0
45.0,37.0
45.0,49.0
45.0,20.0
45.0,7.0
45.0,17.0
45.0,48.0
45.0,30.0
45.0,26.0
45.0,8.0
45.0,13.0
45.0,23.0
45.0,16.0
45.0,16.0
45.0,33.0
45.0,5.0
45.0,13.0
45.0,20.0
45.0,12.0
45.0,27.0
45.0,13.0
45.0,13.0
45.0,18.0
45.0,17.0
45.0,29.0
45.0,25.0
45.0,20.0
45.0,44.0
45.0,40.0
45.0,71.0
45.0,24.0
45.0,41.0
45.0,16.0
45.0,14.0
45.0,19.0
45.0,12.0
45.0,23.0
45.0,15.0
45.0,19.0
45.0,45.0
45.0,31.0
45.0,41.0
45.0,17.0
45.0,14.0
45.0,41.0
45.0,4.0
45.0,10.0
45.0,30.0
45.0,68.0
45.0,27.0
45.0,19.0
45.0,27.0
45.0,14.0
45.0,44.0
45.0,5.0
45.0,57.0
45.0,9.0
45.0,25.0
45.0,8.0
45.0,31.0
45.0,23.0
45.0,16.0
45.0,19.0
45.0,12.0
45.0,26.0
45.0,25.0
45.0,19.0
45.0,28.0
45.0,49.0
45.0,106.0
45.0,20.0
45.0,19.0
45.0,22.0
45.0,41.0
45.0,13.0
45.0,15.0
45.0,12.0
45.0,15.0
45.0,24.0
45.0,18.0
45.0,20.0
45.0,50.0
45.0,117.0
45.0,60.0
45.0,24.0
45.0,7.0
45.0,20.0
45.0,26.0
45.0,20.0
45.0,15.0
45.0,17.0
45.0,28.0
45.0,20.0
45.0,33.0
45.0,34.0
45.0,50.0
45.0,29.0
45.0,34.0
45.0,15.0
45.0,17.0
45.0,17.0
45.0,18.0
45.0,24.0
45.0,19.0
45.0,10.0
45.0,11.0
45.0,31.0
45.0,7.0
45.0,28.0
45.0,41.0
45.0,11.0
45.0,26.0
45.0,33.0
45.0,41.0
45.0,46.0
45.0,37.0
45.0,54.0
45.0,26.0
45.0,14.0
45.0,27.0
45.0,66.0
45.0,83.0
45.0,24.0
45.0,53.0
45.0,35.0
45.0,19.0
45.0,38.0
45.0,11.0
45.0,23.0
45.0,12.0
45.0,20.0
45.0,18.0
45.0,12.0
45.0,15.0
45.0,12.0
45.0,30.0
45.0,17.0
45.0,15.0
45.0,13.0
45.0,14.0
45.0,19.0
45.0,15.0
45.0,17.0
45.0,11.0
45.0,9.0
45.0,34.0
45.0,26.0
45.0,35.0
45.0,15.0
45.0,24.0
45.0,98.0
45.0,21.0
45.0,49.0
45.0,37.0
45.0,24.0
45.0,37.0
45.0,25.0
45.0,5.0
45.0,20.0
45.0,50.0
45.0,48.0
45.0,20.0
45.0,29.0
45.0,31.0
45.0,14.0
45.0,42.0
45.0,14.0
45.0,28.0
45.0,22.0
45.0,19.0
45.0,28.0
45.0,46.0
45.0,24.0
45.0,57.0
45.0,42.0
45.0,10.0
45.0,83.0
45.0,28.0
45.0,27.0
45.0,54.0
45.0,6.0
45.0,42.0
45.0,16.0
45.0,34.0
45.0,29.0
45.0,32.0
45.0,24.0
45.0,36.0
45.0,21.0
45.0,18.0
45.0,9.0
45.0,30.0
45.0,77.0
45.0,67.0
45.0,96.0
45.0,34.0
45.0,23.0
45.0,27.0
45.0,23.0
45.0,59.0
45.0,17.0
45.0,46.0
45.0,24.0
45.0,4.0
45.0,27.0
45.0,42.0
45.0,11.0
45.0,18.0
45.0,34.0
45.0,167.0
45.0,15.0
45.0,18.0
45.0,17.0
45.0,29.0
45.0,22.0
45.0,23.0
45.0,41.0
45.0,41.0
45.0,25.0
45.0,17.0
45.0,27.0
45.0,7.0
45.0,58.0
45.0,56.0
45.0,41.0
45.0,48.0
45.0,15.0
45.0,14.0
45.0,33.0
45.0,13.0
45.0,33.0
45.0,3.0
45.0,4.0
45.0,16.0
45.0,7.0
45.0,33.0
45.0,64.0
45.0,39.0
45.0,43.0
45.0,63.0
45.0,8.0
45.0,45.0
45.0,50.0
45.0,38.0
45.0,38.0
45.0,39.0
45.0,43.0
45.0,52.0
45.0,38.0
45.0,31.0
45.0,112.0
45.0,43.0
45.0,50.0
90.0,12.0
90.0,30.0
90.0,30.0
90.0,11.0
90.0,17.0
90.0,12.0
90.0,7.0
90.0,17.0
90.0,8.0
90.0,7.0
90.0,32.0
90.0,14.0
90.0,14.0
90.0,33.0
90.0,13.0
90.0,12.0
90.0,14.0
90.0,7.0
90.0,11.0
90.0,10.0
90.0,14.0
90.0,36.0
90.0,21.0
90.0,19.0
90.0,51.0
90.0,34.0
90.0,14.0
90.0,156.0
90.0,34.0
90.0,39.0
90.0,25.0
90.0,22.0
90.0,12.0
90.0,16.0
90.0,12.0
90.0,10.0
90.0,27.0
90.0,42.0
90.0,22.0
90.0,14.0
90.0,17.0
90.0,13.0
90.0,15.0
90.0,48.0
90.0,23.0
90.0,26.0
90.0,52.0
90.0,46.0
90.0,80.0
90.0,168.0
90.0,8.0
90.0,9.0
90.0,25.0
90.0,29.0
90.0,15.0
90.0,11.0
90.0,7.0
90.0,13.0
90.0,20.0
90.0,11.0
90.0,35.0
90.0,19.0
90.0,15.0
90.0,10.0
90.0,39.0
90.0,7.0
90.0,28.0
90.0,27.0
90.0,23.0
90.0,37.0
90.0,34.0
90.0,83.0
90.0,27.0
90.0,11.0
90.0,29.0
90.0,37.0
90.0,16.0
90.0,19.0
90.0,7.0
90.0,14.0
90.0,8.0
90.0,19.0
90.0,14.0
90.0,10.0
90.0,55.0
90.0,27.0
90.0,17.0
90.0,24.0
90.0,34.0
90.0,47.0
90.0,30.0
90.0,42.0
90.0,18.0
90.0,19.0
90.0,23.0
90.0,26.0
90.0,27.0
90.0,9.0
90.0,15.0
90.0,6.0
90.0,45.0
90.0,40.0
90.0,40.0
90.0,9.0
90.0,25.0
90.0,6.0
90.0,23.0
90.0,7.0
90.0,28.0
90.0,10.0
90.0,15.0
90.0,14.0
90.0,36.0
90.0,36.0
90.0,15.0
90.0,34.0
90.0,31.0
90.0,7.0
90.0,24.0
90.0,19.0
90.0,18.0
90.0,32.0
90.0,19.0
90.0,34.0
90.0,19.0
90.0,12.0
90.0,11.0
90.0,17.0
90.0,13.0
90.0,16.0
90.0,21.0
90.0,20.0
90.0,10.0
90.0,12.0
90.0,19.0
90.0,28.0
90.0,29.0
90.0,14.0
90.0,14.0
90.0,19.0
90.0,10.0
90.0,15.0
90.0,28.0
90.0,27.0
90.0,13.0
90.0,34.0
90.0,24.0
90.0,6.0
90.0,12.0
90.0,16.0
90.0,16.0
90.0,40.0
90.0,25.0
90.0,35.0
90.0,15.0
90.0,10.0
90.0,18.0
90.0,15.0
90.0,10.0
90.0,28.0
90.0,22.0
90.0,25.0
90.0,7.0
90.0,11.0
90.0,23.0
90.0,3.0
90.0,13.0
90.0,20.0
90.0,24.0
90.0,13.0
90.0,32.0
90.0,25.0
90.0,42.0
90.0,15.0
90.0,26.0
90.0,14.0
90.0,22.0
90.0,44.0
90.0,26.0
90.0,43.0
90.0,31.0
90.0,11.0
90.0,46.0
90.0,35.0
90.0,17.0
90.0,20.0
90.0,29.0
90.0,26.0
90.0,32.0
90.0,27.0
90.0,8.0
90.0,12.0
90.0,16.0
90.0,28.0
90.0,34.0
90.0,14.0
90.0,40.0
90.0,22.0
90.0,27.0
90.0,79.0
90.0,18.0
90.0,23.0
90.0,29.0
90.0,36.0
90.0,16.0
90.0,16.0
90.0,30.0
90.0,17.0
90.0,25.0
90.0,26.0
90.0,75.0
90.0,92.0
90.0,51.0
90.0,98.0
90.0,15.0
90.0,17.0
90.0,31.0
90.0,27.0
90.0,67.0
90.0,29.0
90.0,60.0
90.0,38.0
90.0,111.0
90.0,71.0
90.0,123.0
90.0,43.0
90.0,28.0
90.0,31.0
90.0,41.0
90.0,168.0
90.0,20.0
90.0,36.0
90.0,160.0
90.0,15.0
90.0,122.0
90.0,14.0
90.0,29.0
90.0,25.0
90.0,30.0
90.0,57.0
90.0,9.0
90.0,21.0
90.0,45.0
90.0,21.0
90.0,20.0
90.0,46.0
90.0,25.0
90.0,29.0
90.0,56.0
90.0,40.0
90.0,3.0
90.0,42.0
90.0,103.0
90.0,25.0
90.0,29.0
90.0,24.0
90.0,52.0
90.0,20.0
90.0,13.0
90.0,30.0
90.0,54.0
90.0,35.0
90.0,16.0
90.0,20.0
90.0,110.0
90.0,14.0
90.0,8.0
90.0,5.0
90.0,79.0
90.0,17.0
90.0,14.0
90.0,21.0
90.0,21.0
90.0,16.0
90.0,56.0
90.0,9.0
90.0,13.0
90.0,15.0
90.0,20.0
90.0,7.0
90.0,19.0
90.0,20.0
90.0,14.0
90.0,58.0
90.0,44.0
90.0,25.0
90.0,16.0
90.0,33.0
90.0,28.0
90.0,34.0
90.0,36.0
90.0,15.0
90.0,18.0
90.0,27.0
90.0,14.0
90.0,12.0
90.0,6.0
90.0,21.0
90.0,30.0
90.0,5.0
90.0,20.0
90.0,48.0
90.0,8.0
90.0,33.0
90.0,19.0
90.0,11.0
90.0,34.0
90.0,15.0
90.0,14.0
90.0,14.0
90.0,8.0
90.0,7.0
90.0,24.0
90.0,48.0
90.0,47.0
90.0,63.0
90.0,13.0
90.0,27.0
90.0,40.0
90.0,33.0
90.0,23.0
90.0,22.0
90.0,25.0
90.0,11.0
90.0,13.0
90.0,27.0
90.0,12.0
90.0,23.0
90.0,21.0
90.0,15.0
90.0,34.0
90.0,10.0
90.0,14.0
90.0,11.0
90.0,24.0
90.0,9.0
90.0,39.0
90.0,17.0
90.0,19.0
90.0,16.0
90.0,3.0
90.0,16.0
90.0,41.0
90.0,24.0
90.0,43.0
90.0,29.0
90.0,14.0
90.0,17.0
90.0,20.0
90.0,29.0
90.0,33.0
90.0,21.0
90.0,13.0
90.0,19.0
90.0,37.0
90.0,62.0
90.0,38.0
90.0,24.0
90.0,25.0
90.0,38.0
90.0,25.0
90.0,22.0
90.0,5.0
90.0,31.0
90.0,17.0
90.0,21.0
90.0,19.0
90.0,13.0
90.0,30.0
90.0,30.0
90.0,34.0
90.0,15.0
90.0,18.0
90.0,30.0
90.0,15.0
90.0,18.0
90.0,31.0
90.0,53.0
90.0,22.0
90.0,22.0
90.0,19.0
90.0,32.0
90.0,19.0
90.0,30.0
90.0,17.0
90.0,18.0
90.0,21.0
90.0,20.0
90.0,25.0
90.0,20.0
90.0,7.0
90.0,35.0
90.0,13.0
90.0,28.0
90.0,26.0
90.0,36.0
90.0,31.0
90.0,8.0
90.0,26.0
90.0,34.0
90.0,17.0
90.0,23.0
90.0,60.0
90.0,25.0
90.0,16.0
90.0,64.0
90.0,39.0
90.0,15.0
90.0,50.0
90.0,16.0
90.0,32.0
90.0,15.0
90.0,9.0
90.0,17.0
90.0,15.0
90.0,41.0
90.0,30.0
90.0,33.0
90.0,40.0
90.0,21.0
90.0,25.0
90.0,28.0
90.0,27.0
90.0,3.0
135.0,26.0
135.0,25.0
135.0,28.0
135.0,39.0
135.0,56.0
135.0,3.0
135.0,4.0
135.0,32.0
135.0,75.0
135.0,12.0
135.0,19.0
135.0,21.0
135.0,16.0
135.0,23.0
135.0,22.0
135.0,38.0
135.0,55.0
135.0,16.0
135.0,17.0
135.0,16.0
135.0,16.0
135.0,20.0
135.0,17.0
135.0,41.0
135.0,12.0
135.0,28.0
135.0,28.0
135.0,34.0
135.0,28.0
135.0,37.0
135.0,51.0
135.0,49.0
135.0,51.0
135.0,12.0
135.0,24.0
135.0,60.0
135.0,12.0
135.0,27.0
135.0,10.0
135.0,44.0
135.0,31.0
135.0,17.0
135.0,34.0
135.0,22.0
135.0,23.0
135.0,23.0
135.0,28.0
135.0,34.0
135.0,75.0
135.0,31.0
135.0,3.0
135.0,30.0
135.0,23.0
135.0,24.0
135.0,20.0
135.0,8.0
135.0,10.0
135.0,19.0
135.0,22.0
135.0,36.0
135.0,14.0
135.0,17.0
135.0,8.0
135.0,5.0
135.0,15.0
135.0,45.0
135.0,41.0
135.0,21.0
135.0,24.0
135.0,30.0
135.0,46.0
135.0,33.0
135.0,18.0
135.0,10.0
135.0,50.0
135.0,34.0
135.0,24.0
135.0,34.0
135.0,45.0
135.0,46.0
135.0,38.0
135.0,16.0
135.0,33.0
135.0,35.0
135.0,46.0
135.0,12.0
135.0,37.0
135.0,42.0
135.0,29.0
135.0,18.0
135.0,29.0
135.0,39.0
135.0,42.0
135.0,44.0
135.0,45.0
135.0,20.0
135.0,18.0
135.0,46.0
135.0,61.0
135.0,31.0
135.0,19.0
135.0,14.0
135.0,29.0
135.0,36.0
135.0,11.0
135.0,19.0
135.0,30.0
135.0,39.0
135.0,20.0
135.0,39.0
135.0,38.0
135.0,27.0
135.0,24.0
135.0,3.0
135.0,14.0
135.0,28.0
135.0,26.0
135.0,30.0
135.0,15.0
135.0,23.0
135.0,5.0
135.0,29.0
135.0,19.0
135.0,17.0
135.0,18.0
135.0,3.0
135.0,9.0
135.0,18.0
135.0,13.0
135.0,10.0
135.0,33.0
135.0,55.0
135.0,5.0
135.0,5.0
135.0,38.0
135.0,44.0
135.0,33.0
135.0,47.0
135.0,43.0
135.0,24.0
135.0,10.0
135.0,13.0
135.0,39.0
135.0,17.0
135.0,29.0
135.0,30.0
135.0,29.0
135.0,23.0
135.0,18.0
135.0,26.0
135.0,27.0
135.0,52.0
135.0,29.0
135.0,21.0
135.0,47.0
135.0,24.0
135.0,22.0
135.0,10.0
135.0,50.0
135.0,29.0
135.0,15.0
135.0,12.0
135.0,16.0
135.0,23.0
135.0,37.0
135.0,22.0
135.0,46.0
135.0,25.0
135.0,7.0
135.0,23.0
135.0,33.0
135.0,23.0
135.0,14.0
135.0,17.0
135.0,33.0
135.0,42.0
135.0,35.0
135.0,20.0
135.0,23.0
135.0,46.0
135.0,37.0
135.0,26.0
135.0,29.0
135.0,15.0
135.0,27.0
135.0,30.0
135.0,37.0
135.0,28.0
135.0,20.0
135.0,72.0
135.0,21.0
135.0,17.0
135.0,37.0
135.0,25.0
135.0,3.0
135.0,39.0
135.0,29.0
135.0,6.0
135.0,14.0
135.0,9.0
135.0,8.0
135.0,28.0
135.0,10.0
135.0,31.0
135.0,26.0
135.0,13.0
135.0,26.0
135.0,27.0
135.0,31.0
135.0,20.0
135.0,44.0
135.0,26.0
135.0,34.0
135.0,10.0
135.0,17.0
135.0,26.0
135.0,39.0
135.0,15.0
135.0,16.0
135.0,43.0
135.0,32.0
135.0,18.0
135.0,23.0
135.0,34.0
135.0,23.0
135.0,6.0
135.0,53.0
135.0,21.0
135.0,23.0
135.0,17.0
135.0,37.0
135.0,16.0
135.0,24.0
135.0,19.0
135.0,27.0
135.0,16.0
135.0,26.0
135.0,17.0
135.0,39.0
135.0,17.0
135.0,24.0
135.0,9.0
135.0,13.0
135.0,16.0
135.0,27.0
135.0,48.0
135.0,46.0
135.0,24.0
135.0,31.0
135.0,13.0
135.0,34.0
135.0,14.0
135.0,23.0
135.0,25.0
135.0,11.0
135.0,9.0
135.0,18.0
135.0,57.0
135.0,14.0
135.0,28.0
135.0,28.0
135.0,16.0
135.0,21.0
135.0,12.0
135.0,40.0
135.0,24.0
135.0,5.0
135.0,60.0
135.0,14.0
135.0,14.0
135.0,36.0
135.0,29.0
135.0,37.0
135.0,9.0
135.0,33.0
135.0,53.0
135.0,21.0
135.0,56.0
135.0,17.0
135.0,33.0
135.0,10.0
135.0,18.0
135.0,30.0
135.0,35.0
135.0,30.0
135.0,22.0
135.0,23.0
135.0,30.0
135.0,21.0
135.0,14.0
135.0,72.0
135.0,49.0
135.0,24.0
135.0,23.0
135.0,29.0
135.0,6.0
135.0,21.0
135.0,11.0
135.0,21.0
135.0,12.0
135.0,25.0
135.0,18.0
135.0,34.0
135.0,27.0
135.0,45.0
135.0,18.0
135.0,50.0
135.0,15.0
135.0,33.0
135.0,14.0
135.0,36.0
135.0,36.0
135.0,46.0
135.0,33.0
135.0,22.0
135.0,26.0
135.0,23.0
135.0,65.0
135.0,32.0
135.0,29.0
135.0,28.0
135.0,15.0
135.0,47.0
135.0,49.0
135.0,26.0
135.0,21.0
135.0,8.0
135.0,48.0
135.0,16.0
135.0,29.0
135.0,39.0
135.0,35.0
135.0,72.0
135.0,24.0
135.0,18.0
135.0,64.0
135.0,25.0
135.0,59.0
135.0,31.0
135.0,33.0
135.0,27.0
135.0,28.0
135.0,18.0
135.0,17.0
135.0,20.0
135.0,31.0
135.0,36.0
135.0,32.0
135.0,39.0
135.0,48.0
135.0,46.0
135.0,31.0
135.0,14.0
135.0,37.0
135.0,27.0
135.0,29.0
135.0,25.0
135.0,45.0
135.0,17.0
135.0,73.0
135.0,16.0
135.0,47.0
135.0,69.0
135.0,22.0
135.0,44.0
135.0,51.0
135.0,8.0
135.0,36.0
135.0,34.0
135.0,22.0
135.0,22.0
135.0,10.0
135.0,25.0
135.0,38.0
135.0,16.0
135.0,51.0
135.0,5.0
135.0,21.0
135.0,11.0
135.0,17.0
135.0,56.0
135.0,60.0
135.0,90.0
135.0,51.0
135.0,33.0
135.0,38.0
135.0,47.0
135.0,36.0
135.0,27.0
135.0,37.0
135.0,14.0
135.0,29.0
135.0,40.0
135.0,66.0
135.0,67.0
135.0,45.0
135.0,26.0
135.0,14.0
135.0,19.0
135.0,23.0
135.0,5.0
135.0,19.0
135.0,12.0
135.0,11.0
135.0,8.0
135.0,24.0
135.0,40.0
135.0,31.0
135.0,18.0
135.0,66.0
135.0,32.0
135.0,24.0
135.0,33.0
135.0,34.0
135.0,26.0
135.0,22.0
135.0,16.0
135.0,32.0
135.0,15.0
135.0,21.0
180.0,18.0
180.0,22.0
180.0,22.0
180.0,6.0
180.0,29.0
180.0,7.0
180.0,14.0
180.0,13.0
180.0,14.0
180.0,10.0
180.0,7.0
180.0,11.0
180.0,13.0
180.0,30.0
180.0,58.0
180.0,59.0
180.0,55.0
180.0,94.0
180.0,4.0
180.0,28.0
180.0,27.0
180.0,46.0
180.0,26.0
180.0,186.0
180.0,9.0
180.0,13.0
180.0,27.0
180.0,20.0
180.0,3.0
180.0,38.0
180.0,14.0
180.0,12.0
180.0,14.0
180.0,12.0
180.0,8.0
180.0,12.0
180.0,11.0
180.0,16.0
180.0,11.0
180.0,35.0
180.0,80.0
180.0,15.0
180.0,65.0
180.0,14.0
180.0,37.0
180.0,58.0
180.0,95.0
180.0,20.0
180.0,21.0
180.0,23.0
180.0,53.0
180.0,69.0
180.0,72.0
180.0,29.0
180.0,76.0
180.0,18.0
180.0,24.0
180.0,42.0
180.0,16.0
180.0,15.0
180.0,5.0
180.0,25.0
180.0,17.0
180.0,13.0
180.0,13.0
180.0,68.0
180.0,52.0
180.0,20.0
180.0,19.0
180.0,13.0
180.0,10.0
180.0,16.0
180.0,28.0
180.0,18.0
180.0,20.0
180.0,17.0
180.0,12.0
180.0,14.0
180.0,83.0
180.0,33.0
180.0,6.0
180.0,90.0
180.0,172.0
180.0,36.0
180.0,54.0
180.0,20.0
180.0,38.0
180.0,8.0
180.0,13.0
180.0,8.0
180.0,5.0
180.0,8.0
180.0,20.0
180.0,23.0
180.0,49.0
180.0,49.0
180.0,18.0
180.0,46.0
180.0,21.0
180.0,37.0
180.0,22.0
180.0,12.0
180.0,11.0
180.0,23.0
180.0,7.0
180.0,11.0
180.0,12.0
180.0,15.0
180.0,18.0
180.0,10.0
180.0,23.0
180.0,12.0
180.0,123.0
180.0,86.0
180.0,135.0
180.0,19.0
180.0,18.0
180.0,12.0
180.0,10.0
180.0,33.0
180.0,16.0
180.0,23.0
180.0,42.0
180.0,56.0
180.0,115.0
180.0,25.0
180.0,13.0
180.0,16.0
180.0,16.0
180.0,17.0
180.0,17.0
180.0,15.0
180.0,15.0
180.0,10.0
180.0,12.0
180.0,7.0
180.0,8.0
180.0,20.0
180.0,22.0
180.0,12.0
180.0,24.0
180.0,15.0
180.0,15.0
180.0,132.0
180.0,77.0
180.0,57.0
180.0,65.0
180.0,10.0
180.0,16.0
180.0,70.0
180.0,53.0
180.0,19.0
180.0,3.0
180.0,49.0
180.0,19.0
180.0,14.0
180.0,19.0
180.0,7.0
180.0,19.0
180.0,13.0
180.0,3.0
180.0,19.0
180.0,12.0
180.0,20.0
180.0,12.0
180.0,9.0
